album_id,name,lastfm_playcount,lastfm_listeners,lastfm,artist_id
237,Better Dig Two,0,1,fa665903-9354-497b-b40e-ede6e0e0176e,228
238,House of Balloons,5604102,145915,61784ca8-f1a9-4cf8-8452-b5c7076a6fc0,60
239,Hey Porsche,233074,56696,d8e9758f-8757-41b7-a547-a73854935501,544
240,Pitch Perfect,23189,627,13aa5a08-6045-49ae-b37d-5ebde60760d2,400
241,Finally Rich,1110209,78015,2a8e24f3-3d0e-4360-aec7-964d50be992b,547
242,Home,479426,75831,32a52c02-65c7-4039-9d6b-7a1cc1f60576,176
243,Swimming Pools (Drank),810556,165899,b56fb548-8158-41a5-b465-9bdef4832f75,127
244,Boys & Girls,0,0,36d5abcf-44f6-4888-bab8-5b999dfed1b0,554
245,Wild Ones,3513649,359890,0ace9b23-934d-4b58-a749-f0f33b883646,342
246,Every Storm (Runs Out Of Rain),100292,22764,3cea6be5-be02-4911-b58f-178162810992,556
247,How Country Feels,349195,37955,07d53ebe-d74b-4c3a-bb03-7a9efe434b56,70
248,Casey James,0,1,222d5f03-91b3-4579-9e25-7cb7accf08c0,558
249,Back In The Saddle,79660,14448,4a26b886-4c5b-4fd6-bb7c-77e093b6d32f,561
250,Gossamer,8397177,450738,c2174e3e-6c49-4262-8965-36a173a9ebc0,566
251,The Lateness Of the Hour,5044148,358820,39df3094-f91b-4c4b-aa96-b1523db67172,569
252,We Are Never Ever Getting Back Together,1283734,206466,e213175f-dfcb-42a8-986f-3452c44214c2,2
253,channel ORANGE,16026343,477854,67678102-7a0a-4bd1-aa78-2ebb1f114aca,574
254,Bright Lights,0,1,099f7825-5615-485c-ade1-be72c0deea99,40
255,Live While We're Young,354510,68128,2ec964ee-308b-4ff6-8e8b-6c1655b1e907,34
256,Hello My Name Is...,1079700,47986,154f4c86-def7-4059-95bf-d8af0e770e67,581
257,The Truth About Love,7003983,375694,5a3fe36c-5954-4e6f-9032-1974793b2f00,533
258,Tailgates & Tanlines,0,1,8daf2bfc-9341-4f14-98ef-eaadfc139ebd,46
259,Welcome To The Fishbowl,320362,40261,08b6a314-4a6e-48f0-918e-9e4aaee8c2e4,57
260,Everybody Talks,843383,181690,808dc911-8b1e-49bd-a01b-eb01a2fdb811,245
261,Changed,249704,29390,213a3a2a-2e5e-4baf-a773-756b8121d105,251
262,California 37,2350313,177423,a7a800d4-9efa-447c-a8a9-1cf9a7ef0be5,177
263,Chapter V,465594,35807,89ef2835-9396-4740-8117-538ff2f26e9f,186
264,Unbroken,8410430,267176,8567aef6-d979-464b-9e46-1dd664cd37dc,270
265,I Won't Give Up,1080335,195381,6e680b82-fa31-4342-87b6-1c306d4fb90c,613
266,Red Karaoke,10422,1625,647068db-4ea4-4ae5-9782-f0b4b38f98cc,2
267,Sticks & Stones,0,1,4334eedb-4b67-4804-8b7e-3ecb70836eb2,615
268,North,814914,35785,846c4fee-976b-49bb-9b2d-cced5736a47b,617
269,Talk That Talk,12687434,512259,2938b971-8331-4540-bff0-34a0f297ac83,371
270,Shinin' On Me,41078,13423,fbcb54f8-6b3f-45f0-8533-99511d79c058,263
271,Up All Night,11295758,350629,40d3d03d-ec8f-4862-a74c-f4bd8253ba69,34
272,"Glee: The Music, The Complete Season Four",403471,1912,6c8d3304-3f34-4dda-a8a8-4e4ddef0bc72,408
273,Heart Attack,161232,36333,7c14afc2-3f2b-49f1-8471-30d00ec32a23,186
274,Jana Kramer,200301,15945,57f5e928-5400-4b13-8377-31fdc54d204f,536
275,Angel Eyes,114012,30743,421710a8-1814-4520-9f26-025c564f95b5,622
276,The Wanted,0,0,6b3c30b7-c03f-48f6-a2c3-3df02da3b12e,457
277,Living Things,13221242,315642,7e8bf5e5-7536-403b-8eb8-3f4f6654a380,628
278,Ronan,15809,1389,c2a66b16-3fc6-4631-8fad-0e2cb9bf88b8,2
279,Punching Bag,148791,24311,8feb456a-cf6b-4977-a755-83fbe613e8cf,634
280,Kiss,1945412,140168,742fdcb4-4203-4343-9ed9-051f01f255e6,563
281,That's Why I Pray,21845,6715,a0821954-681a-4c4a-bace-02ef0389df67,124
282,¡Uno!,1802955,74661,ab5eb4b7-e8b2-47ad-92c7-52057060ee85,635
283,O.N.I.F.C.,1341172,73648,5185787b-d182-4702-bfa7-80d617c8cc52,197
284,Never Trust A Happy Song,5256462,377326,00ee87de-e714-47ed-8197-314d43d5a6ad,637
285,Push and Shove,2289943,76690,7d27f4e2-166e-4a80-aed2-7b149b72e311,638
286,Welcome Reality,4953324,335367,e47582d5-02f2-477b-8762-0b31ae92823e,640
287,The Band Perry EP,585190,190280,85cde815-3e46-42aa-9f73-0e6747768167,228
288,Own the Night,1863872,165983,6e709b21-50a0-43ce-bd76-afffe3c792f9,170
289,Cashin' Out,166633,55395,1358b58a-2e4a-4c07-8694-922b8d8f42e7,224
290,Global Warming,1223844,148712,a16e6884-5bb0-4bc2-901a-fdf6adfaa6d2,648
291,Believe,3983432,236474,0b782c49-b933-4478-b274-b0e7bf1cc40c,343
292,El Camino,17828606,359966,9c78e227-cedb-430f-b737-f1ea6bce6fa2,265
293,The Video Year Mix 2012,345,98,d69b2786-2278-4f0a-bc1b-6ce0b71fb7bf,187
294,Hello,1099226,99243,77c5786e-afb7-4f4e-b886-bc2096c50c82,445
295,Life At Best,656602,89657,63632cc0-370c-4f9e-90e1-cb8c0e88b8a0,184
296,Clancy's Tavern,318759,64090,e3299e1c-c4ad-43fc-b574-63dfe8965cf1,655
297,Battle Born,4772006,193237,87f3570e-c901-47aa-9158-c18a5a31bd04,656
298,Trouble Man: Heavy Is the Head,442564,44330,2bda7e07-e0e0-4a3e-abe3-eef508453499,658
299,Drank In My Cup,227014,51444,644ce310-a9c3-4f61-85ae-0bf091c161ad,666
300,My Kinda Party,2135518,240387,4f334065-afbe-49cf-9c53-da39fb3f0f68,63
301,21,0,1,29f224ac-498d-4dcb-9a07-22b1293288ae,550
302,You Get What You Give,1404818,101250,5c48404e-41d9-4ca0-bec9-82fbf7448a10,332
303,Strange Clouds,0,1,a9e90261-69e9-4cab-8c84-5aacacfb11fd,676
304,Sorry for Party Rocking,5720683,519966,15804658-f932-43a4-a50b-fc0151c62cb7,678
305,The Hunger Games: Songs from District 12 and Beyond,587412,44597,82eb1018-4870-4693-8180-26546993686b,2
306,Born and Raised,0,0,fa2ff295-fc7f-423b-860b-44764c83e74a,253
307,Andy Grammer,778532,73406,2a557d25-0b98-4cc6-9b0e-e9f9903c0fd3,680
308,Emotional Traffic,95070,9550,1d53b0f7-d551-4d7f-b2b3-030592816f1c,43
