"id";"date_lastfm";"position_lastfm";"no_of_listeners_lastfm";"track_id"
"152";"2006-09-24 00:00:00";"52";"1939";"3968"
"153";"2006-09-24 00:00:00";"53";"1921";"4608"
"154";"2006-09-24 00:00:00";"54";"1914";"4607"
"155";"2006-09-24 00:00:00";"55";"1909";"3506"
"156";"2006-09-24 00:00:00";"56";"1897";"4611"
"157";"2006-09-24 00:00:00";"57";"1857";"4623"
"158";"2006-09-24 00:00:00";"58";"1839";"4617"
"159";"2006-09-24 00:00:00";"59";"1823";"3947"
"160";"2006-09-24 00:00:00";"60";"1807";"4614"
"161";"2006-09-24 00:00:00";"61";"1804";"4616"
"162";"2006-09-24 00:00:00";"62";"1803";"4308"
"163";"2006-09-24 00:00:00";"63";"1802";"4613"
"164";"2006-09-24 00:00:00";"64";"1793";"4622"
"165";"2006-09-24 00:00:00";"65";"1776";"4629"
"166";"2006-09-24 00:00:00";"66";"1755";"4636"
"167";"2006-09-24 00:00:00";"67";"1752";"4627"
"168";"2006-09-24 00:00:00";"68";"1752";"3495"
"169";"2006-09-24 00:00:00";"69";"1743";"4619"
"170";"2006-09-24 00:00:00";"70";"1706";"4620"
"171";"2006-09-24 00:00:00";"71";"1702";"4621"
"172";"2006-09-24 00:00:00";"72";"1702";"4626"
"173";"2006-09-24 00:00:00";"73";"1702";"4635"
"174";"2006-09-24 00:00:00";"74";"1673";"3527"
"175";"2006-09-24 00:00:00";"75";"1672";"4632"
"176";"2006-09-24 00:00:00";"76";"1668";"4628"
"177";"2006-09-24 00:00:00";"77";"1653";"4652"
"178";"2006-09-24 00:00:00";"78";"1652";"4640"
"179";"2006-09-24 00:00:00";"79";"1645";"4653"
"180";"2006-09-24 00:00:00";"80";"1645";"3377"
"181";"2006-09-24 00:00:00";"81";"1641";"4642"
"182";"2006-09-24 00:00:00";"82";"1639";"4633"
"183";"2006-09-24 00:00:00";"83";"1639";"4618"
"184";"2006-09-24 00:00:00";"84";"1638";"4637"
"185";"2006-09-24 00:00:00";"85";"1634";"4624"
"186";"2006-09-24 00:00:00";"86";"1628";"4639"
"187";"2006-09-24 00:00:00";"87";"1624";"4649"
"188";"2006-09-24 00:00:00";"88";"1624";"4442"
"189";"2006-09-24 00:00:00";"89";"1620";"4650"
"190";"2006-09-24 00:00:00";"90";"1615";"4615"
"191";"2006-09-24 00:00:00";"91";"1609";"4643"
"192";"2006-09-24 00:00:00";"92";"1603";"4630"
"193";"2006-09-24 00:00:00";"93";"1596";"4654"
"194";"2006-09-24 00:00:00";"94";"1586";"4009"
"195";"2006-09-24 00:00:00";"95";"1586";"4646"
"196";"2006-09-24 00:00:00";"96";"1585";"3746"
"197";"2006-09-24 00:00:00";"97";"1585";"4655"
"198";"2006-09-24 00:00:00";"98";"1579";"4634"
"199";"2006-09-24 00:00:00";"99";"1577";"4656"
"200";"2006-09-24 00:00:00";"100";"1574";"4641"
"201";"2006-10-01 00:00:00";"1";"4180";"4574"
"202";"2006-10-01 00:00:00";"2";"3670";"3527"
"203";"2006-10-01 00:00:00";"3";"3643";"3424"
"204";"2006-10-01 00:00:00";"4";"3565";"4575"
"205";"2006-10-01 00:00:00";"5";"3296";"3875"
"206";"2006-10-01 00:00:00";"6";"3209";"3354"
"207";"2006-10-01 00:00:00";"7";"3101";"3561"
"208";"2006-10-01 00:00:00";"8";"2751";"4576"
"209";"2006-10-01 00:00:00";"9";"2749";"4577"
"210";"2006-10-01 00:00:00";"10";"2735";"4581"
"211";"2006-10-01 00:00:00";"11";"2704";"4583"
"212";"2006-10-01 00:00:00";"12";"2646";"4578"
"213";"2006-10-01 00:00:00";"13";"2632";"3566"
"214";"2006-10-01 00:00:00";"14";"2596";"4579"
"215";"2006-10-01 00:00:00";"15";"2588";"4580"
"216";"2006-10-01 00:00:00";"16";"2470";"4582"
"217";"2006-10-01 00:00:00";"17";"2455";"4588"
"218";"2006-10-01 00:00:00";"18";"2389";"4589"
"219";"2006-10-01 00:00:00";"19";"2383";"4585"
"220";"2006-10-01 00:00:00";"20";"2373";"4586"
"221";"2006-10-01 00:00:00";"21";"2355";"4599"
"222";"2006-10-01 00:00:00";"22";"2352";"4594"
"223";"2006-10-01 00:00:00";"23";"2347";"4584"
"224";"2006-10-01 00:00:00";"24";"2327";"4587"
"225";"2006-10-01 00:00:00";"25";"2308";"4332"
"226";"2006-10-01 00:00:00";"26";"2296";"4591"
"227";"2006-10-01 00:00:00";"27";"2278";"4592"
"228";"2006-10-01 00:00:00";"28";"2222";"4597"
"229";"2006-10-01 00:00:00";"29";"2185";"4595"
"230";"2006-10-01 00:00:00";"30";"2184";"4201"
"231";"2006-10-01 00:00:00";"31";"2173";"4252"
"232";"2006-10-01 00:00:00";"32";"2143";"4590"
"233";"2006-10-01 00:00:00";"33";"2130";"4598"
"234";"2006-10-01 00:00:00";"34";"2130";"4593"
"235";"2006-10-01 00:00:00";"35";"2112";"4657"
"236";"2006-10-01 00:00:00";"36";"2111";"3612"
"237";"2006-10-01 00:00:00";"37";"2108";"4604"
"238";"2006-10-01 00:00:00";"38";"2092";"4603"
"239";"2006-10-01 00:00:00";"39";"2077";"4600"
"240";"2006-10-01 00:00:00";"40";"2050";"4605"
"241";"2006-10-01 00:00:00";"41";"2045";"3591"
"242";"2006-10-01 00:00:00";"42";"2034";"3968"
"243";"2006-10-01 00:00:00";"43";"2019";"4609"
"244";"2006-10-01 00:00:00";"44";"2019";"4601"
"245";"2006-10-01 00:00:00";"45";"2014";"4610"
"246";"2006-10-01 00:00:00";"46";"2007";"4602"
"247";"2006-10-01 00:00:00";"47";"1999";"4658"
"248";"2006-10-01 00:00:00";"48";"1995";"4596"
"249";"2006-10-01 00:00:00";"49";"1991";"4606"
"250";"2006-10-01 00:00:00";"50";"1974";"3627"
"251";"2006-10-01 00:00:00";"51";"1968";"4611"
"252";"2006-10-01 00:00:00";"52";"1966";"3910"
"253";"2006-10-01 00:00:00";"53";"1964";"3947"
"254";"2006-10-01 00:00:00";"54";"1953";"4607"
"255";"2006-10-01 00:00:00";"55";"1931";"3401"
"256";"2006-10-01 00:00:00";"56";"1918";"3506"
"257";"2006-10-01 00:00:00";"57";"1917";"3555"
"258";"2006-10-01 00:00:00";"58";"1914";"4608"
"259";"2006-10-01 00:00:00";"59";"1910";"4612"
"260";"2006-10-01 00:00:00";"60";"1903";"4614"
"261";"2006-10-01 00:00:00";"61";"1885";"4659"
"262";"2006-10-01 00:00:00";"62";"1884";"3443"
"263";"2006-10-01 00:00:00";"63";"1880";"4627"
"264";"2006-10-01 00:00:00";"64";"1876";"4616"
"265";"2006-10-01 00:00:00";"65";"1819";"4660"
"266";"2006-10-01 00:00:00";"66";"1797";"4643"
"267";"2006-10-01 00:00:00";"67";"1794";"4617"
"268";"2006-10-01 00:00:00";"68";"1786";"4629"
"269";"2006-10-01 00:00:00";"69";"1784";"4661"
"270";"2006-10-01 00:00:00";"70";"1784";"3360"
"271";"2006-10-01 00:00:00";"71";"1780";"4622"
"272";"2006-10-01 00:00:00";"72";"1780";"4636"
"273";"2006-10-01 00:00:00";"73";"1771";"4619"
"274";"2006-10-01 00:00:00";"74";"1766";"4613"
"275";"2006-10-01 00:00:00";"75";"1735";"4442"
"276";"2006-10-01 00:00:00";"76";"1730";"4626"
"277";"2006-10-01 00:00:00";"77";"1724";"4620"
"278";"2006-10-01 00:00:00";"78";"1719";"4308"
"279";"2006-10-01 00:00:00";"79";"1713";"4623"
"280";"2006-10-01 00:00:00";"80";"1704";"4653"
"281";"2006-10-01 00:00:00";"81";"1702";"4662"
"282";"2006-10-01 00:00:00";"82";"1699";"3495"
