"track_id";"echonest";"lastfm";"spotify";"sevendigital";"vevo";"apple"
"84";"SOLCVYE146E84A7A85";"ede15da6-d60d-4ed4-b3ec-e803f7b384ef";"3MFV4DgrAOXz6KURPQxRj9";;;"687558120"
"85";;;"5uqphUYsR45kPYplrYSAQh";;"USUV71402978";
"86";;;"6ho8nmo2Z0y1tSCAdbjRE6";;"US58E1390408";"740979147"
"87";;;"4zj1DEHmzKdZ859fFtBmSx";;;"947064921"
"88";;;"7tefUew2RUuSAqHyegMoY1";;;
"89";"SOKOEVQ143E0D36B4C";"dff3092c-6392-4a42-a167-d94406c3ba01";"1hb6wUcWcjJswYPaTXJgxw";"34588922";;"791588135"
"90";"SOGVOVK14A82751BC5";"7d468a2a-86f8-4cf4-8613-c226153cb7d2";"3qnUqdzB7fjJOKrooVPX4k";"42073355";;"949632303"
"91";;;"7ewfvLrlI0VNht4vEnoTMh";;"USUV71401583";"836874355"
"92";"SODGNVD14743891619";"9dae59b2-1f50-4d37-a706-fabdf2454834";"47NeBv1KKFoxj9SUwxJjw1";;"QMKHK1492025";"922560329"
"93";;"e9de0777-ba19-45cc-84f8-acc5b19ad471";"4pq6q25ckZxU8oVRzLI6YJ";"37912745";"AUIYN1400030";"963223159"
"94";"SOGUBQE142C39CD56F";"b2f1bf67-5237-48f8-9cbc-ee68c46aab49";"3obQ7Qx6YZt8r1KvTv7uk3";"32885938";"USRV51300124";"719348023"
"95";"SONUOHZ148385DDFB7";"a19628b1-5ffd-4332-8558-755a7b497021";"10Lqmv7SXFxyfzk3gbgMMa";"42166293";"USSM21401540";"929825616"
"96";;;"6H75Ki32BRrJFQeDNR05s1";;;
"97";;"527d4134-e12a-4c1f-8607-0753c91ee1d6";"72wSY7TWu27sVm2rwRLen5";;"USGQ41300050";"898334055"
"98";;;"6p5abLu89ZSSpRQnbK9Wqs";;;
"99";"SOEZTTQ147E9871D47";"3c5361a8-444e-44ec-847d-81cae6f68aaf";"289hx4t6fH2BBe8p6cnXo1";"39677851";;"909561632"
"101";;"e1d509e3-5b8d-4fee-bd7a-40b7d569d171";"6jizk5lOUnfpaZXYMdfeC6";;;"840381892"
"102";;"3b12d646-6383-4e24-9109-5aec1c57497a";"1blo7jFYjDyBkD43T4cvjY";;"USCMV1400046";"947648632"
"103";;;"5hmQ76WSXsot6JQV3NdaCV";;"USCMV1400038";
"104";;;"27zVrE9dDN2Ij8rlHw0XHm";"39703807";"USUV71401303";"911467259"
"105";"SORZRVV1498BD15809";;"135OGEwLzbg5UE3gOH5SdW";"41080590";"USUV71402749";"963404479"
"106";;"5236bc4a-c697-43a9-8eb7-70d68c9305c1";"0LH5xRQz5D36FpIkYUFv2e";"39909921";;"916432934"
"107";;;"4GaKKWwNuCGg4N1qQUCebv";;;
"108";"SOXCWEH148C3F77172";"a427fbf0-a8af-4f4c-bb9d-18f18c0f03eb";"0GZoB8h0kqXn7XFm4Sj06k";"40026009";;"947662920"
"109";;;"3r3IydiFlCmsgY9B9L3o6Y";;;
"110";"SOXNBSQ149AC8F0329";;"1ADjWm8QNhgNV8yCNNgQ1T";"41629783";;"943685201"
"111";;;"6PfQuBnKZPjt7cB7fRUuLi";"39917510";;"918377362"
"112";;"99ebd82f-6769-4b11-9937-30018c55da99";"4QnDtVAQlf30wqCLaI5415";;"USUV71402264";"911165082"
"113";;"914f6a27-fce4-4a75-9267-049b51a1b086";;"40659521";;"907242709"
"114";;;"5O9WkrcIngJ6l3il6WrfbG";;"USUV71402145";
"115";;"f6b3c334-42de-4923-9e08-956c738f4845";"2Uxn9uOgMUcGyy25SaMdq6";;;"964503883"
