"album_id";"name";"lastfm_playcount";"lastfm_listeners"
"299";"Drank In My Cup";"227014";"51444"
"300";"My Kinda Party";"2135518";"240387"
"301";"21";"0";"1"
"302";"You Get What You Give";"1404818";"101250"
"303";"Strange Clouds";"0";"1"
"304";"Sorry for Party Rocking";"5720683";"519966"
"305";"The Hunger Games: Songs from District 12 and Beyond";"587412";"44597"
"306";"Born and Raised";"0";"0"
"307";"Andy Grammer";"778532";"73406"
"308";"Emotional Traffic";"95070";"9550"
"309";"Red River Blue";"849872";"95942"
"310";"Undefeated";"40435";"11122"
"311";"Mylo Xyloto";"29580625";"857896"
"312";"This Ole Boy";"136296";"32388"
"313";"Well Done 2";"191612";"12319"
"314";"100x Liefde 2014";"242";"46"
"315";"Shake It Out";"3889";"624"
"316";"Scary Monsters and Nice Sprites";"7194273";"335244"
"317";"Who You Are";"8741855";"621213"
"318";"It's Not Right But It's Okay";"1825";"194"
"319";"Somebody That I Used To Know";"8871";"1475"
"320";"Making Mirrors";"16335865";"803825"
"321";"A Thousand Years";"189094";"29178"
"322";"It Will Rain";"624088";"124763"
"323";"Inevitable";"80140";"15052"
"324";"Rebels On The Run";"49954";"7619"
"325";"Hungry Like the Wolf / Rio";"1258";"163"
"326";"Get Closer";"552718";"39651"
"327";"Sweeter";"1856484";"192026"
"328";"Tonight Is The Night";"0";"1"
"329";"Amaryllis";"2315026";"75807"
"330";"She Doesn't Mind";"569530";"107260"
"331";"Nu Music Traxx #322";"358";"98"
"332";"Hemingway's Whiskey";"484256";"67978"
"333";"Ceremonials";"19352561";"587723"
"334";"Hell Is What You Make It";"2632850";"134214"
"335";"Torches";"29399976";"1110178"
"336";"When the Sun Goes Down";"5128511";"234831"
"337";"Return of Simba";"10906";"3377"
"338";"Clear As Day";"264186";"33680"
"339";"Young the Giant";"7483577";"476663"
"340";"#BitchImTheShit";"0";"1"
"341";"The Greatest Hits";"1357241";"326912"
"342";"Fly / I Believe I Can Fly";"2379";"205"
"343";"Cough Syrup";"7891";"745"
"344";"What Doesn't Kill You (Stronger)";"3295";"304"
"345";"Here's To Us";"2565";"185"
"346";"Glad You Came";"3617";"303"
"347";"Whitney Houston";"947695";"199155"
"348";"Doo-Wops & Hooligans";"10415972";"695087"
"349";"Scars & Stories";"1904647";"136983"
"350";"I Will Always Love You";"1600";"193"
"351";"Stereo Hearts";"9500";"736"
"352";"All of You";"0";"0"
"353";"Human Nature";"1361";"152"
"354";"Black Or White";"3092";"234"
"355";"Wanna Be Startin' Somethin'";"1778";"112"
"356";"Outlaws Like Me";"389269";"58201"
"357";"This Is Country Music";"749783";"84936"
"358";"We Found Love";"7711";"694"
"359";"Moves Like Jagger / Jumpin' Jack Flash";"1191";"119"
"360";"The First Time Ever I Saw Your Face";"1199";"140"
"361";"Amen";"30944";"14224"
"362";"Glee: The Music Presents Glease";"314397";"14297"
"363";"A Different Kind Of Truth";"770434";"46423"
"364";"Fallen Empires";"3033185";"92882"
"365";"Born to Die";"0";"0"
"366";"Blue Slide Park";"3059211";"175666"
"367";"Goodbye Lullaby";"10554699";"320000"
"368";"Here And Now";"0";"0"
"369";"Set You Free";"79257";"19389"
"370";"Under the Mistletoe";"0";"1"
"371";"Best Day Ever";"2742574";"78346"
"372";"More Monsters And Sprites";"1338053";"74540"
"373";"Science & Faith";"4687705";"401939"
"374";"K.I.D.S.";"1370491";"50344"
"375";"Baggage Claim";"60975";"24021"
"376";"We Are Young";"15439";"2188"
"377";"Do They Know It's Christmas?";"155";"27"
"378";"Survivor / I Will Survive";"5295";"365"
"379";"Red Solo Cup";"426";"73"
"380";"Girls Just Want To Have Fun";"1167";"103"
