"artist_id";"album_id"
"714";"329"
"714";"529"
"714";"576"
"714";"1022"
"715";"572"
"717";"330"
"717";"640"
"717";"1013"
"727";"333"
"727";"1438"
"727";"1644"
"728";"334"
"729";"335"
"729";"1708"
"730";"336"
"730";"489"
"730";"556"
"732";"339"
"732";"1709"
"735";"341"
"735";"347"
"735";"635"
"740";"443"
"740";"535"
"740";"655"
"740";"1079"
"740";"1144"
"759";"361"
"760";"363"
"761";"364"
"761";"893"
"761";"1276"
"762";"368"
"762";"524"
"762";"827"
"762";"1192"
"765";"369"
"765";"491"
"765";"503"
"765";"643"
"769";"511"
"769";"686"
"769";"744"
"769";"817"
"769";"1486"
"770";"760"
"772";"502"
"772";"668"
"772";"671"
"788";"974"
"789";"394"
"791";"945"
"791";"1018"
"791";"1286"
"791";"1487"
"792";"396"
"793";"397"
"793";"501"
"793";"803"
"793";"1258"
"806";"402"
"806";"499"
"807";"403"
"809";"404"
"809";"940"
"809";"1203"
"810";"715"
"815";"407"
"815";"964"
"817";"409"
"818";"410"
"818";"607"
"818";"805"
"818";"1066"
"818";"1404"
"818";"1813"
"824";"415"
"827";"416"
"828";"939"
"829";"417"
"851";"422"
"852";"423"
"852";"637"
"852";"919"
"857";"424"
"857";"1031"
"859";"615"
"859";"884"
"859";"1067"
"859";"1100"
"862";"426"
"865";"430"
"865";"661"
"866";"433"
"867";"434"
"867";"999"
"868";"435"
"877";"538"
"886";"438"
"886";"1224"
"889";"439"
"891";"444"
"893";"445"
"894";"446"
"894";"844"
"894";"1069"
"894";"1294"
"895";"447"
"901";"449"
"902";"450"
"903";"451"
"906";"453"
"906";"627"
"907";"454"
"916";"700"
"916";"875"
"919";"459"
"929";"460"
"929";"672"
"930";"461"
"930";"486"
"930";"639"
"930";"813"
"930";"1046"
"930";"1148"
"931";"462"
"938";"464"
"940";"621"
"942";"468"
"942";"520"
"948";"470"
"952";"471"
"955";"473"
"955";"861"
"959";"476"
"964";"477"
"964";"666"
"964";"830"
"964";"836"
"964";"948"
"966";"478"
"967";"479"
"967";"754"
"967";"1193"
"974";"480"
"977";"482"
"977";"848"
"977";"1012"
"978";"484"
"979";"1198"
"988";"488"
"991";"731"
"991";"962"
"991";"1136"
"993";"490"
"998";"493"
"998";"1141"
"998";"1149"
"998";"1256"
"1002";"496"
"1002";"741"
"1002";"994"
"1008";"689"
"1013";"504"
"1013";"1191"
"1015";"505"
"1015";"581"
"1020";"507"
"1027";"510"
"1033";"514"
"1033";"1134"
"1036";"516"
"1039";"620"
"1039";"798"
"1042";"518"
"1042";"1761"
"1043";"721"
"1048";"521"
"1048";"927"
"1049";"522"
"1049";"734"
"1049";"1064"
"1049";"1131"
"1050";"523"
"1050";"1592"
"1060";"528"
"1060";"1218"
"1062";"531"
"1062";"652"
"1062";"947"
"1063";"532"
"1078";"537"
"1078";"772"
"1078";"1072"
"1079";"539"
"1081";"544"
"1087";"548"
"1091";"549"
"1101";"667"
"1104";"558"
"1104";"601"
"1109";"561"
"1109";"711"
"1110";"562"
"1110";"598"
"1110";"892"
"1110";"1158"
"1116";"564"
"1117";"565"
"1117";"784"
"1117";"1029"
"1120";"566"
"1120";"828"
"1124";"822"
"1124";"1003"
"1136";"571"
"1136";"1027"
"1139";"573"
"1140";"579"
"1143";"574"
"1143";"1025"
"1144";"575"
"1144";"1612"
"1146";"578"
"1148";"801"
"1148";"1123"
"1150";"580"
"1154";"583"
"1156";"641"
"1157";"584"
"1157";"645"
"1170";"588"
"1172";"589"
"1173";"590"
"1177";"593"
"1177";"831"
"1178";"595"
"1178";"833"
"1178";"905"
"1178";"1163"
"1181";"599"
"1181";"1277"
"1188";"603"
"1188";"1060"
"1188";"1335"
"1188";"1403"
"1188";"1439"
"1188";"1763"
"1199";"605"
"1199";"695"
"1200";"606"
"1201";"608"
"1203";"611"
"1208";"612"
"1215";"616"
"1215";"750"
"1218";"617"
"1225";"657"
"1226";"622"
"1227";"623"
"1233";"626"
"1233";"958"
"1233";"1213"
"1234";"628"
"1235";"629"
"1235";"1118"
"1236";"631"
"1240";"636"
"1241";"1257"
"1242";"910"
"1243";"638"
"1248";"642"
"1249";"644"
"1255";"647"
"1255";"1445"
"1256";"648"
"1257";"650"
"1258";"651"
"1258";"793"
"1258";"1034"
"1258";"1529"
"1258";"1530"
"1258";"1822"
"1262";"653"
"1264";"654"
"1276";"660"
"1276";"880"
"1276";"1121"
"1280";"684"
"1283";"664"
"1297";"673"
"1307";"675"
"1307";"943"
"1307";"1093"
"1308";"676"
"1310";"702"
"1310";"1737"
"1312";"678"
"1313";"679"
"1319";"681"
"1319";"1543"
"1320";"682"
"1320";"821"
"1321";"683"
"1321";"898"
"1322";"685"
"1322";"752"
"1322";"1059"
"1323";"687"
"1323";"1418"
"1323";"1676"
"1327";"688"
"1327";"867"
"1327";"1090"
"1331";"690"
"1331";"1150"
"1332";"691"
"1333";"692"
"1336";"698"
"1351";"704"
"1351";"1248"
"1352";"706"
"1352";"826"
"1354";"707"
"1356";"976"
"1356";"1263"
"1359";"709"
"1360";"710"
"1360";"1646"
"1364";"712"
"1365";"713"
"1366";"714"
"1366";"872"
"1368";"882"
"1369";"716"
"1371";"717"
"1371";"1009"
"1371";"1209"
"1374";"718"
"1374";"891"
"1375";"719"
"1377";"1370"
"1381";"1019"
"1382";"723"
"1384";"1322"
"1384";"1524"
"1389";"726"
"1389";"1238"
"1391";"728"
"1394";"729"
"1400";"788"
"1402";"732"
"1404";"733"
"1406";"735"
"1408";"736"
"1410";"737"
"1411";"738"
"1412";"986"
"1415";"742"
"1415";"1270"
"1422";"747"
"1428";"749"
"1429";"751"
"1436";"755"
"1438";"1089"
"1440";"758"
"1441";"759"
