"album_id";"track_id";"position"
"160";"441";"21"
"137";"442";"2"
"171";"443";"6"
"138";"446";"1"
"139";"449";"1"
"140";"450";"5"
"141";"451";"1"
"142";"460";"7"
"116";"461";"9"
"143";"465";"6"
"144";"468";"11"
"145";"476";"3"
"125";"478";"15"
"146";"479";"1"
"147";"480";"1"
"148";"482";"1"
"149";"483";"3"
"150";"484";"2"
"151";"486";"1"
"1693";"488";"5"
"152";"491";"4"
"153";"492";"8"
"48";"493";"1"
"154";"494";"1"
"155";"505";"8"
"123";"506";"3"
"156";"508";"10"
"157";"513";"7"
"158";"514";"2"
"159";"516";"2"
"118";"520";"9"
"160";"524";"8"
"150";"527";"9"
"161";"529";"4"
"162";"532";"5"
"31";"533";"1"
"150";"535";"8"
"163";"536";"12"
"266";"537";"2"
"164";"539";"1"
"25";"541";"1"
"165";"543";"9"
"166";"544";"3"
"854";"551";"1"
"150";"553";"6"
"125";"556";"13"
"122";"557";"9"
"150";"563";"5"
"167";"566";"1"
"168";"568";"4"
"125";"571";"2"
"150";"572";"4"
"128";"578";"5"
"169";"579";"1"
"150";"580";"3"
"170";"584";"1"
"171";"585";"2"
"123";"588";"4"
"150";"591";"1"
"84";"592";"1"
"172";"593";"6"
"173";"595";"2"
"174";"596";"4"
"101";"600";"9"
"47";"603";"4"
"175";"606";"1"
"27";"611";"11"
"102";"612";"2"
"1649";"620";"1"
"176";"623";"1"
"177";"625";"91"
"178";"627";"1"
"179";"629";"2"
"180";"630";"1"
"181";"635";"2"
"182";"639";"4"
"183";"646";"3"
"184";"647";"1"
"185";"649";"1"
"145";"651";"1"
"186";"652";"5"
"187";"653";"1"
"188";"656";"2"
"189";"658";"3"
"48";"662";"3"
"236";"663";"7"
"190";"664";"2"
"156";"665";"7"
"191";"669";"14"
"192";"671";"1"
"193";"673";"1"
"123";"678";"6"
"194";"680";"1"
"195";"682";"1"
"196";"683";"5"
"197";"686";"5"
"198";"688";"9"
"199";"689";"2"
"200";"690";"1"
"201";"691";"1"
"149";"693";"2"
"202";"694";"3"
"203";"695";"7"
"204";"697";"1"
"143";"698";"1"
"1590";"700";"11"
"100";"702";"2"
"205";"704";"3"
"206";"706";"2"
"207";"707";"15"
"208";"708";"2"
"209";"710";"1"
"199";"713";"1"
"266";"714";"6"
"210";"716";"9"
"156";"718";"2"
"211";"724";"13"
"177";"728";"76"
"212";"729";"1"
"213";"731";"1"
"212";"733";"12"
"156";"734";"4"
"192";"738";"4"
"214";"740";"1"
"215";"748";"4"
"216";"749";"1"
"123";"755";"2"
"171";"756";"3"
"167";"758";"5"
"217";"760";"2"
"218";"764";"7"
"219";"772";"2"
"1843";"773";"7"
"118";"774";"2"
"122";"777";"10"
"220";"779";"1"
"221";"780";"4"
"222";"781";"25"
"168";"784";"6"
"223";"787";"11"
"1842";"798";"25"
"224";"799";"1"
"225";"800";"11"
"182";"801";"3"
"226";"804";"6"
"227";"808";"16"
"228";"812";"13"
"261";"813";"1"
"229";"814";"2"
"230";"815";"1"
"231";"816";"2"
"232";"821";"3"
"233";"822";"6"
"274";"824";"5"
"234";"825";"1"
"235";"828";"6"
"149";"829";"1"
"163";"830";"1"
"144";"834";"3"
"196";"835";"7"
"197";"837";"7"
"236";"839";"1"
"221";"840";"2"
"237";"842";"1"
"238";"843";"5"
"239";"844";"1"
"240";"848";"4"
"241";"849";"1"
"229";"851";"3"
"191";"852";"2"
"242";"853";"3"
"243";"857";"1"
"210";"863";"1"
"244";"865";"1"
"116";"866";"3"
"143";"867";"3"
"245";"869";"8"
"246";"870";"1"
"266";"871";"16"
"247";"872";"2"
"205";"873";"2"
"248";"875";"2"
"171";"876";"1"
"1561";"877";"25"
"249";"880";"4"
"280";"882";"3"
"250";"885";"1"
"203";"887";"2"
"251";"891";"4"
"252";"897";"1"
"253";"898";"2"
"254";"899";"11"
"255";"903";"1"
"256";"909";"1"
"257";"911";"6"
"258";"913";"2"
"259";"915";"6"
"229";"923";"7"
"227";"928";"27"
"204";"929";"11"
"260";"937";"1"
"261";"942";"4"
"245";"944";"1"
"182";"945";"2"
"167";"946";"3"
"122";"947";"7"
"262";"952";"5"
"195";"957";"4"
"168";"960";"1"
"314";"962";"25"
"178";"966";"2"
"263";"967";"2"
"264";"969";"10"
"265";"971";"1"
"266";"974";"7"
