"artist_id";"echonest";"lastfm";"spotify";"sevendigital";"apple"
"17";;;"7iZtZyCzp3LItcw1wtPI3D";;
"18";;;"3FD9VAd0ppjmKbfxF4LzUh";;
"19";"ARMTPRF1269FCD5C94";"91a81925-92f9-4fc9-b897-93cf01226282";"33W1pnW9zScZtYTnAoWnOT";"326665";"122464082"
"20";;;"33W1pnW9zScZtYTnAoWnOT";;
"21";"ARBUIGY13A709C567F";"2e41ae9c-afd2-4f20-8f1e-17281ce9b472";"4NHQUGzhtTLFvgF5SZesLK";"1456782";"570136838"
"22";;"365e73ae-808c-4b0f-a313-74f302cb6911";"4NHQUGzhtTLFvgF5SZesLK";;"405360400"
"23";;"48262e82-db9f-4a92-b650-dfef979b73ec";"1Zatb2YN4erBOoSivOXc0o";"2158218";"811744627"
"24";;"2c5e2a98-d9ea-46b5-9618-d9bb4863a920";"7nDsS0l5ZAzMedVRKPP8F1";"2267033";"567487911"
"25";"ARIPMNV147731CA84A";"8ab5d936-49d1-415e-92c8-151e0e7dd912";"34Y0ldeyUv7jBvukWOGASO";"2369562";"902809133"
"26";;;"5WUlDfRSoLAfcVSX1WnrxN";;
"27";;;"4AVFqumd2ogHFlRbKIjp1t";;
"28";"ARXGKXE13CABFC507C";"c44e9c22-ef82-4a77-9bcd-af6c958446d6";"10exVja0key0uqUkk6LJRT";"1883673";"594135753"
"29";"AR73S4G1187B9A03C2";"fabb37f8-eb2a-4cc1-a72a-b56935bbb72d";"5Pwc4xIPtQLFEnJriah9YJ";"435254";"260414340"
"30";;;"5Pwc4xIPtQLFEnJriah9YJ";;"27044968"
"31";;;"21E3waRsmPlU7jZsS13rcj";;
"32";;;"0A0FS04o6zMoto8OKPsDwY";;
"33";;"b27229bb-5669-4e98-b4ce-0158b2451fe8";"0DxeaLnv6SyYk2DOqkLO8c";"2040858";"779604886"
"34";"ARZHFAY130708EE366";"aa25521e-3848-4ff7-ab09-545cc95b8a36";"4AK6F7OLvEQ5QYCBNiQWHq";"1076111";"396754057"
"35";;"4bbc8087-548d-4484-abd2-5b1f4c1a7940";"4AK6F7OLvEQ5QYCBNiQWHq";;"95705522"
"36";"ARLE2071187FB3A270";"773af101-792f-48b8-a588-09a07cff5e53";"4xFUf1FHVy696Q1JQZMTRj";"137931";"63399334"
"37";;;"4xFUf1FHVy696Q1JQZMTRj";;
"38";"ARMDNNP13D610B088F";"ee910c7a-56df-4df3-bef8-aa94a3adef8b";"1hzfo8twXdOegF3xireCYs";"1522434";"611146795"
"39";"ARJMGRN13F3ABCE000";"55489cf2-1d70-420f-a364-44b4e0eb276c";"1l8Fu6IkuTP0U5QetQJ5Xt";"1950313";"577354628"
"40";"ARKTTJV12592CDA07F";"370b7c7a-0ac4-4a4a-8b98-97084302c38d";"0X2BH1fck6amBIoJhDVmmJ";"468577";"338264227"
"41";;;"1l8Fu6IkuTP0U5QetQJ5Xt";;
"42";;"800760de-bdf8-43a2-8fe0-44a2401a5515";"7kFfY4UjNdNyaeUgLIEbIF";;"835015448"
"43";"ARDR3K91187B9B04EB";"ad590765-191c-4c07-9d64-49633488e9a8";"6roFdX1y5BYSbp60OTJWMd";"39572";"3496236"
"44";;;"6roFdX1y5BYSbp60OTJWMd";;
"45";"AROED381187B99AE76";"5ab2cf34-517e-48eb-b3a5-34e1cbcd600a";"2IvkS5MXK0vPGnwyJsrEyV";"20081";"123055194"
"46";"ARNNM56119B86686EA";"a73662ac-647d-4ca4-b26d-162a0d5c5a8e";"0BvkDsjIUla7X0k6CSWh1I";"38703";"20131064"
"47";"ARIUOBQ12BE4890CD5";"0fa06365-1a08-4ea8-b522-01b24f26eac1";"3b8QkneNDz4JHKKKlLgYZg";"1358684";"399241518"
"48";;;"3b8QkneNDz4JHKKKlLgYZg";;
"49";;;"50OApTJurDusIo9dGTqSU4";;
"50";"ARMRCET1187FB52049";"650e7db6-b795-4eb5-a702-5ea2fc46c848";"3r17AfJCCUqC9Lf0OAc73G";"30491";"151910203"
"51";;;"3r17AfJCCUqC9Lf0OAc73G";;
"52";"ARKHGQA1187B9B7AD5";"508f4f83-26dc-4d21-98d9-1a8c04d5ad4a";"13YmWQJFwgZrd4bf5IjMY4";"1152";"203739"
"53";;;"1g1yxsNVPhMUl9GrMjEb2o";;
"54";;;"13YmWQJFwgZrd4bf5IjMY4";;
"55";;;"13YmWQJFwgZrd4bf5IjMY4";;
"56";;;"3KV3p5EY4AvKxOlhGHORLg";;
